,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Počet
platných
hlasov
spolu",Platné hlasy (počet / podiel),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zelení,KDH,SDĽ,SNS,OĽaNO,SaS,PaS,NÁŠ KRAJ,SZ,ĽSNS,SMER - SD,"Zmena zdola, DÚ",NaS - ns,KSS,SRÚS,MOST - HÍD,99%,ĽS - HZDS,+1 HLAS,SF,Obyčajní ľudia,SDKÚ - DS,SOSKA,SMK - MKP,SSS - NM,SŽS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1,11","13,96","0,55","6,70","6,14","2,79","0,55","0,00","1,11","0,55","58,10","1,11","0,00","3,35","0,00","0,00","1,11","0,00","0,00","0,00","0,55","0,00","0,00","0,00","2,23","0,00"
Lastomír,,454,2,30,1,21,11,13,0,2,3,7,287,5,5,7,0,7,9,3,0,1,1,25,0,1,13,0
,,,"0,44","6,60","0,22","4,62","2,42","2,86","0,00","0,44","0,66","1,54","63,21","1,10","1,10","1,54","0,00","1,54","1,98","0,66","0,00","0,22","0,22","5,50","0,00","0,22","2,86","0,00"
Laškovce,,201,2,17,1,14,12,4,3,0,0,3,66,0,0,9,27,4,3,29,2,0,0,3,0,0,2,0
,,,"0,99","8,45","0,49","6,96","5,97","1,99","1,49","0,00","0,00","1,49","32,83","0,00","0,00","4,47","13,43","1,99","1,49","14,42","0,99","0,00","0,00","1,49","0,00","0,00","0,99","0,00"
Lekárovce,,468,2,25,1,47,21,4,7,2,1,3,310,3,4,4,0,3,6,6,1,0,0,9,1,0,8,0
,,,"0,42","5,34","0,21","10,04","4,48","0,85","1,49","0,42","0,21","0,64","66,23","0,64","0,85","0,85","0,00","0,64","1,28","1,28","0,21","0,00","0,00","1,92","0,21","0,00","1,70","0,00"
Lesné,,199,2,33,0,18,1,5,0,0,0,0,117,3,1,2,0,1,2,0,0,0,0,3,2,1,8,0
,,,"1,00","16,58","0,00","9,04","0,50","2,51","0,00","0,00","0,00","0,00","58,79","1,50","0,50","1,00","0,00","0,50","1,00","0,00","0,00","0,00","0,00","1,50","1,00","0,50","4,02","0,00"
Ložín,,340,0,34,0,9,13,4,3,2,0,14,224,5,2,5,2,1,3,6,0,0,0,10,0,0,3,0
,,,"0,00","10,00","0,00","2,64","3,82","1,17","0,88","0,58","0,00","4,11","65,88","1,47","0,58","1,47","0,58","0,29","0,88","1,76","0,00","0,00","0,00","2,94","0,00","0,00","0,88","0,00"
Lúčky,,236,3,15,0,5,11,4,1,0,0,5,137,1,1,0,23,1,8,6,0,1,1,7,0,0,6,0
,,,"1,27","6,35","0,00","2,11","4,66","1,69","0,42","0,00","0,00","2,11","58,05","0,42","0,42","0,00","9,74","0,42","3,38","2,54","0,00","0,42","0,42","2,96","0,00","0,00","2,54","0,00"
Malčice,,487,5,31,0,35,3,9,0,0,1,5,371,4,2,0,1,2,2,3,0,0,0,8,0,1,4,0
,,,"1,02","6,36","0,00","7,18","0,61","1,84","0,00","0,00","0,20","1,02","76,18","0,82","0,41","0,00","0,20","0,41","0,41","0,61","0,00","0,00","0,00","1,64","0,00","0,20","0,82","0,00"
Malé Raškovce,,141,0,0,0,3,4,1,0,2,0,0,30,0,0,1,0,64,5,0,0,0,0,0,0,27,4,0
,,,"0,00","0,00","0,00","2,12","2,83","0,70","0,00","1,41","0,00","0,00","21,27","0,00","0,00","0,70","0,00","45,39","3,54","0,00","0,00","0,00","0,00","0,00","0,00","19,14","2,83","0,00"
Markovce,,293,3,13,5,9,17,2,0,5,0,2,180,1,3,6,1,0,3,32,0,0,0,1,0,0,10,0
,,,"1,02","4,43","1,70","3,07","5,80","0,68","0,00","1,70","0,00","0,68","61,43","0,34","1,02","2,04","0,34","0,00","1,02","10,92","0,00","0,00","0,00","0,34","0,00","0,00","3,41","0,00"
Maťovské Vojkovce,,253,2,15,2,2,0,3,0,1,0,2,20,0,0,1,0,66,2,0,0,0,0,0,0,137,0,0
,,,"0,79","5,92","0,79","0,79","0,00","1,18","0,00","0,39","0,00","0,79","7,90","0,00","0,00","0,39","0,00","26,08","0,79","0,00","0,00","0,00","0,00","0,00","0,00","54,15","0,00","0,00"
Michalovce,,15 909,36,1 575,62,681,1 135,767,73,47,45,228,8 560,182,112,193,20,215,319,146,1,37,13,924,17,7,490,24
,,,"0,22","9,90","0,38","4,28","7,13","4,82","0,45","0,29","0,28","1,43","53,80","1,14","0,70","1,21","0,12","1,35","2,00","0,91","0,00","0,23","0,08","5,80","0,10","0,04","3,08","0,15"
Moravany,,513,0,46,2,26,34,12,1,3,1,3,323,1,7,7,0,2,12,2,0,5,0,12,1,0,13,0
,,,"0,00","8,96","0,38","5,06","6,62","2,33","0,19","0,58","0,19","0,58","62,96","0,19","1,36","1,36","0,00","0,38","2,33","0,38","0,00","0,97","0,00","2,33","0,19","0,00","2,53","0,00"
Nacina Ves,,659,0,58,0,57,19,6,0,1,2,3,430,1,6,11,32,1,6,6,0,0,1,9,0,1,8,1
,,,"0,00","8,80","0,00","8,64","2,88","0,91","0,00","0,15","0,30","0,45","65,25","0,15","0,91","1,66","4,85","0,15","0,91","0,91","0,00","0,00","0,15","1,36","0,00","0,15","1,21","0,15"
Nižná Rybnica,,179,0,13,0,3,3,0,0,1,1,0,139,3,3,0,0,0,0,4,0,0,0,4,0,0,5,0
,,,"0,00","7,26","0,00","1,67","1,67","0,00","0,00","0,55","0,55","0,00","77,65","1,67","1,67","0,00","0,00","0,00","0,00","2,23","0,00","0,00","0,00","2,23","0,00","0,00","2,79","0,00"
Nižné Nemecké,,174,1,14,2,14,2,1,0,0,0,2,115,1,0,4,1,2,3,8,0,0,0,2,0,0,2,0
,,,"0,57","8,04","1,14","8,04","1,14","0,57","0,00","0,00","0,00","1,14","66,09","0,57","0,00","2,29","0,57","1,14","1,72","4,59","0,00","0,00","0,00","1,14","0,00","0,00","1,14","0,00"
Oborín,,342,3,1,1,2,2,4,0,0,0,0,42,2,0,0,1,190,4,1,0,1,0,3,0,82,2,1
,,,"0,87","0,29","0,29","0,58","0,58","1,16","0,00","0,00","0,00","0,00","12,28","0,58","0,00","0,00","0,29","55,55","1,16","0,29","0,00","0,29","0,00","0,87","0,00","23,97","0,58","0,29"
Orechová,,112,0,5,0,9,1,7,0,0,0,1,51,0,0,2,0,1,1,28,0,0,0,3,1,0,2,0
,,,"0,00","4,46","0,00","8,03","0,89","6,25","0,00","0,00","0,00","0,89","45,53","0,00","0,00","1,78","0,00","0,89","0,89","25,00","0,00","0,00","0,00","2,67","0,89","0,00","1,78","0,00"
Oreské,,261,0,44,1,13,7,5,3,0,0,6,137,1,1,15,0,0,6,2,1,0,0,14,1,0,4,0
,,,"0,00","16,85","0,38","4,98","2,68","1,91","1,14","0,00","0,00","2,29","52,49","0,38","0,38","5,74","0,00","0,00","2,29","0,76","0,38","0,00","0,00","5,36","0,38","0,00","1,53","0,00"
Ostrov,,143,1,36,0,3,8,3,1,0,0,4,83,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0
,,,"0,69","25,17","0,00","2,09","5,59","2,09","0,69","0,00","0,00","2,79","58,04","0,00","0,69","0,00","0,00","0,00","0,00","1,39","0,00","0,00","0,00","0,69","0,00","0,00","0,00","0,00"
Palín,,291,0,18,1,23,8,7,1,0,0,6,187,0,3,5,2,4,9,3,0,0,0,10,0,0,4,0
,,,"0,00","6,18","0,34","7,90","2,74","2,40","0,34","0,00","0,00","2,06","64,26","0,00","1,03","1,71","0,68","1,37","3,09","1,03","0,00","0,00","0,00","3,43","0,00","0,00","1,37","0,00"
Pavlovce nad Uhom,,969,18,49,8,18,30,16,7,10,3,7,714,5,2,7,0,8,6,18,1,0,0,13,1,0,22,6
,,,"1,85","5,05","0,82","1,85","3,09","1,65","0,72","1,03","0,30","0,72","73,68","0,51","0,20","0,72","0,00","0,82","0,61","1,85","0,10","0,00","0,00","1,34","0,10","0,00","2,27","0,61"
Petrikovce,,104,0,17,0,3,1,0,0,0,0,0,60,1,1,1,0,5,5,2,0,0,0,0,0,2,6,0
,,,"0,00","16,34","0,00","2,88","0,96","0,00","0,00","0,00","0,00","0,00","57,69","0,96","0,96","0,96","0,00","4,80","4,80","1,92","0,00","0,00","0,00","0,00","0,00","1,92","5,76","0,00"
Petrovce,,126,0,22,1,4,2,0,2,0,0,0,74,0,5,0,0,0,3,8,0,0,0,2,0,0,3,0
,,,"0,00","17,46","0,79","3,17","1,58","0,00","1,58","0,00","0,00","0,00","58,73","0,00","3,96","0,00","0,00","0,00","2,38","6,34","0,00","0,00","0,00","1,58","0,00","0,00","2,38","0,00"
Petrovce nad Laborcom,,384,5,65,1,17,13,18,0,2,0,3,202,5,2,6,0,10,8,3,0,0,0,14,0,0,8,2
,,,"1,30","16,92","0,26","4,42","3,38","4,68","0,00","0,52","0,00","0,78","52,60","1,30","0,52","1,56","0,00","2,60","2,08","0,78","0,00","0,00","0,00","3,64","0,00","0,00","2,08","0,52"
Pinkovce,,94,0,2,1,1,1,3,1,2,0,1,72,0,0,1,0,2,3,1,0,0,0,3,0,0,0,0
,,,"0,00","2,12","1,06","1,06","1,06","3,19","1,06","2,12","0,00","1,06","76,59","0,00","0,00","1,06","0,00","2,12","3,19","1,06","0,00","0,00","0,00","3,19","0,00","0,00","0,00","0,00"
Podhoroď,,140,1,8,0,9,2,5,1,0,0,3,99,0,0,2,0,1,0,3,0,1,0,3,0,0,2,0
,,,"0,71","5,71","0,00","6,42","1,42","3,57","0,71","0,00","0,00","2,14","70,71","0,00","0,00","1,42","0,00","0,71","0,00","2,14","0,00","0,71","0,00","2,14","0,00","0,00","1,42","0,00"
Porostov,,106,0,15,0,3,0,2,0,4,0,0,77,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0
,,,"0,00","14,15","0,00","2,83","0,00","1,88","0,00","3,77","0,00","0,00","72,64","0,00","0,00","0,94","0,00","0,00","1,88","0,00","0,00","0,00","0,00","1,88","0,00","0,00","0,00","0,00"
Poruba pod Vihorlatom,,341,0,16,0,7,8,5,1,0,0,0,264,2,0,7,0,1,10,5,0,0,0,10,0,0,5,0
,,,"0,00","4,69","0,00","2,05","2,34","1,46","0,29","0,00","0,00","0,00","77,41","0,58","0,00","2,05","0,00","0,29","2,93","1,46","0,00","0,00","0,00","2,93","0,00","0,00","1,46","0,00"
Porúbka,488508,213,2,9,1,5,5,4,1,0,1,2,163,2,1,0,0,0,6,1,0,0,0,8,0,0,2,0
,,,"0,93","4,22","0,46","2,34","2,34","1,87","0,46","0,00","0,46","0,93","76,52","0,93","0,46","0,00","0,00","0,00","2,81","0,46","0,00","0,00","0,00","3,75","0,00","0,00","0,93","0,00"
Pozdišovce,,574,4,45,1,32,38,17,6,1,0,13,322,2,7,16,0,7,19,4,0,3,1,13,2,0,20,1
,,,"0,69","7,83","0,17","5,57","6,62","2,96","1,04","0,17","0,00","2,26","56,09","0,34","1,21","2,78","0,00","1,21","3,31","0,69","0,00","0,52","0,17","2,26","0,34","0,00","3,48","0,17"
Priekopa,,138,0,6,0,2,8,3,2,0,0,1,94,0,0,1,0,3,5,0,0,0,0,8,0,0,3,2
,,,"0,00","4,34","0,00","1,44","5,79","2,17","1,44","0,00","0,00","0,72","68,11","0,00","0,00","0,72","0,00","2,17","3,62","0,00","0,00","0,00","0,00","5,79","0,00","0,00","2,17","1,44"
Ptrukša,,257,0,1,0,1,2,0,2,0,0,0,3,0,0,2,0,141,1,1,0,0,0,3,0,99,1,0
,,,"0,00","0,38","0,00","0,38","0,77","0,00","0,77","0,00","0,00","0,00","1,16","0,00","0,00","0,77","0,00","54,86","0,38","0,38","0,00","0,00","0,00","1,16","0,00","38,52","0,38","0,00"
Pusté Čemerné,,184,0,22,4,9,11,6,0,0,0,0,105,3,0,1,0,2,4,14,0,0,0,0,2,0,1,0
,,,"0,00","11,95","2,17","4,89","5,97","3,26","0,00","0,00","0,00","0,00","57,06","1,63","0,00","0,54","0,00","1,08","2,17","7,60","0,00","0,00","0,00","0,00","1,08","0,00","0,54","0,00"
Rakovec nad Ondavou,,412,0,46,1,41,14,1,0,0,0,0,255,4,1,6,0,2,16,6,0,0,1,15,0,0,3,0
,,,"0,00","11,16","0,24","9,95","3,39","0,24","0,00","0,00","0,00","0,00","61,89","0,97","0,24","1,45","0,00","0,48","3,88","1,45","0,00","0,00","0,24","3,64","0,00","0,00","0,72","0,00"
Remetské Hámre,,306,1,10,0,21,6,5,2,1,0,1,229,0,1,5,0,1,6,1,0,0,0,10,1,0,5,0
,,,"0,32","3,26","0,00","6,86","1,96","1,63","0,65","0,32","0,00","0,32","74,83","0,00","0,32","1,63","0,00","0,32","1,96","0,32","0,00","0,00","0,00","3,26","0,32","0,00","1,63","0,00"
Ruská,,257,3,16,0,2,1,3,1,0,0,1,15,0,0,1,0,90,4,0,0,1,0,4,0,111,2,2
,,,"1,16","6,22","0,00","0,77","0,38","1,16","0,38","0,00","0,00","0,38","5,83","0,00","0,00","0,38","0,00","35,01","1,55","0,00","0,00","0,38","0,00","1,55","0,00","43,19","0,77","0,77"
Ruská Bystrá,,56,0,6,1,2,1,2,0,1,0,1,35,0,1,0,0,0,0,3,0,0,0,2,0,0,1,0
,,,"0,00","10,71","1,78","3,57","1,78","3,57","0,00","1,78","0,00","1,78","62,50","0,00","1,78","0,00","0,00","0,00","0,00","5,35","0,00","0,00","0,00","3,57","0,00","0,00","1,78","0,00"
Ruskovce,,130,0,22,0,6,3,1,1,0,0,6,72,0,0,0,0,0,0,3,0,0,1,5,1,0,9,0
,,,"0,00","16,92","0,00","4,61","2,30","0,76","0,76","0,00","0,00","4,61","55,38","0,00","0,00","0,00","0,00","0,00","0,00","2,30","0,00","0,00","0,76","3,84","0,76","0,00","6,92","0,00"
Ruský Hrabovec,,158,1,2,0,6,2,1,0,1,0,0,91,0,0,2,0,1,2,39,0,0,0,4,1,0,5,0
,,,"0,63","1,26","0,00","3,79","1,26","0,63","0,00","0,63","0,00","0,00","57,59","0,00","0,00","1,26","0,00","0,63","1,26","24,68","0,00","0,00","0,00","2,53","0,63","0,00","3,16","0,00"
Sejkov,,89,0,16,0,0,8,0,1,0,0,1,50,1,1,0,0,0,0,4,0,0,0,2,1,0,1,3
,,,"0,00","17,97","0,00","0,00","8,98","0,00","1,12","0,00","0,00","1,12","56,17","1,12","1,12","0,00","0,00","0,00","0,00","4,49","0,00","0,00","0,00","2,24","1,12","0,00","1,12","3,37"
Senné,,263,0,24,1,7,5,3,0,0,0,0,187,4,3,9,0,2,7,3,0,0,0,1,0,0,7,0
,,,"0,00","9,12","0,38","2,66","1,90","1,14","0,00","0,00","0,00","0,00","71,10","1,52","1,14","3,42","0,00","0,76","2,66","1,14","0,00","0,00","0,00","0,38","0,00","0,00","2,66","0,00"
Slavkovce,,176,0,12,0,10,5,4,0,0,0,1,105,1,3,2,0,4,5,3,0,0,0,17,0,0,4,0
,,,"0,00","6,81","0,00","5,68","2,84","2,27","0,00","0,00","0,00","0,56","59,65","0,56","1,70","1,13","0,00","2,27","2,84","1,70","0,00","0,00","0,00","9,65","0,00","0,00","2,27","0,00"
Sliepkovce,,285,2,28,0,6,11,2,1,14,0,4,175,0,0,2,1,5,2,1,2,3,0,17,0,0,8,1
,,,"0,70","9,82","0,00","2,10","3,85","0,70","0,35","4,91","0,00","1,40","61,40","0,00","0,00","0,70","0,35","1,75","0,70","0,35","0,70","1,05","0,00","5,96","0,00","0,00","2,80","0,35"
Sobrance,,2 580,10,273,18,100,157,65,10,9,4,32,1 604,19,31,16,3,16,36,40,1,3,3,69,2,0,58,1
,,,"0,38","10,58","0,69","3,87","6,08","2,51","0,38","0,34","0,15","1,24","62,17","0,73","1,20","0,62","0,11","0,62","1,39","1,55","0,03","0,11","0,11","2,67","0,07","0,00","2,24","0,03"
Staré,,358,1,54,0,25,11,2,0,1,1,6,223,4,0,3,0,0,4,2,0,1,0,3,1,0,16,0
,,,"0,27","15,08","0,00","6,98","3,07","0,55","0,00","0,27","0,27","1,67","62,29","1,11","0,00","0,83","0,00","0,00","1,11","0,55","0,00","0,27","0,00","0,83","0,27","0,00","4,46","0,00"
Strážske,,1 848,5,146,6,115,106,64,10,9,3,30,1 082,8,16,9,0,9,44,74,0,3,0,53,1,1,51,3
,,,"0,27","7,90","0,32","6,22","5,73","3,46","0,54","0,48","0,16","1,62","58,54","0,43","0,86","0,48","0,00","0,48","2,38","4,00","0,00","0,16","0,00","2,86","0,05","0,05","2,75","0,16"
Stretava,,158,4,6,1,5,4,4,1,3,1,1,102,0,0,2,0,3,4,3,0,2,0,9,0,0,3,0
,,,"2,53","3,79","0,63","3,16","2,53","2,53","0,63","1,89","0,63","0,63","64,55","0,00","0,00","1,26","0,00","1,89","2,53","1,89","0,00","1,26","0,00","5,69","0,00","0,00","1,89","0,00"
Stretavka,,89,0,3,0,3,5,3,0,0,0,3,59,0,1,1,0,0,0,0,0,0,2,5,0,0,4,0
,,,"0,00","3,37","0,00","3,37","5,61","3,37","0,00","0,00","0,00","3,37","66,29","0,00","1,12","1,12","0,00","0,00","0,00","0,00","0,00","0,00","2,24","5,61","0,00","0,00","4,49","0,00"
Suché,,225,1,23,2,8,12,3,1,0,0,4,148,1,0,1,1,2,3,0,0,0,0,9,0,0,6,0
,,,"0,44","10,22","0,88","3,55","5,33","1,33","0,44","0,00","0,00","1,77","65,77","0,44","0,00","0,44","0,44","0,88","1,33","0,00","0,00","0,00","0,00","4,00","0,00","0,00","2,66","0,00"
Svätuš,,72,0,2,0,2,0,1,0,0,0,0,64,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,,"0,00","2,77","0,00","2,77","0,00","1,38","0,00","0,00","0,00","0,00","88,88","2,77","0,00","0,00","0,00","0,00","0,00","1,38","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Šamudovce,,211,2,25,2,3,1,7,2,3,0,1,151,1,0,1,1,1,2,3,0,0,0,3,0,0,2,0
,,,"0,94","11,84","0,94","1,42","0,47","3,31","0,94","1,42","0,00","0,47","71,56","0,47","0,00","0,47","0,47","0,47","0,94","1,42","0,00","0,00","0,00","1,42","0,00","0,00","0,94","0,00"
Tašuľa,,74,1,6,0,0,7,0,0,1,0,1,36,1,0,2,0,0,2,1,0,0,0,16,0,0,0,0
,,,"1,35","8,10","0,00","0,00","9,45","0,00","0,00","1,35","0,00","1,35","48,64","1,35","0,00","2,70","0,00","0,00","2,70","1,35","0,00","0,00","0,00","21,62","0,00","0,00","0,00","0,00"
Tibava,,237,0,16,0,15,7,5,0,1,1,4,160,0,1,2,0,0,7,5,0,0,0,8,1,0,3,1
,,,"0,00","6,75","0,00","6,32","2,95","2,10","0,00","0,42","0,42","1,68","67,51","0,00","0,42","0,84","0,00","0,00","2,95","2,10","0,00","0,00","0,00","3,37","0,42","0,00","1,26","0,42"
Trhovište,,611,20,40,0,30,13,9,1,1,3,17,426,0,3,6,0,3,6,3,0,0,0,18,0,0,7,5
,,,"3,27","6,54","0,00","4,90","2,12","1,47","0,16","0,16","0,49","2,78","69,72","0,00","0,49","0,98","0,00","0,49","0,98","0,49","0,00","0,00","0,00","2,94","0,00","0,00","1,14","0,81"
Trnava pri Laborci,,276,1,16,0,13,4,10,1,2,2,2,188,1,4,1,0,2,2,11,0,0,0,6,0,0,9,1
,,,"0,36","5,79","0,00","4,71","1,44","3,62","0,36","0,72","0,72","0,72","68,11","0,36","1,44","0,36","0,00","0,72","0,72","3,98","0,00","0,00","0,00","2,17","0,00","0,00","3,26","0,36"
Tušice,,332,0,6,0,9,9,5,0,1,1,11,242,1,7,0,0,0,6,3,0,0,1,25,1,0,3,1
,,,"0,00","1,80","0,00","2,71","2,71","1,50","0,00","0,30","0,30","3,31","72,89","0,30","2,10","0,00","0,00","0,00","1,80","0,90","0,00","0,00","0,30","7,53","0,30","0,00","0,90","0,30"
Tušická Nová Ves,,294,0,20,0,14,6,7,1,2,0,9,197,2,13,1,0,2,3,4,0,0,0,8,2,0,3,0
,,,"0,00","6,80","0,00","4,76","2,04","2,38","0,34","0,68","0,00","3,06","67,00","0,68","4,42","0,34","0,00","0,68","1,02","1,36","0,00","0,00","0,00","2,72","0,68","0,00","1,02","0,00"
Úbrež,,228,5,43,0,6,6,11,2,1,0,6,115,1,5,2,2,0,10,1,0,0,0,5,0,5,1,1
,,,"2,19","18,85","0,00","2,63","2,63","4,82","0,87","0,43","0,00","2,63","50,43","0,43","2,19","0,87","0,87","0,00","4,38","0,43","0,00","0,00","0,00","2,19","0,00","2,19","0,43","0,43"
Veľké Kapušany,,2 763,7,97,2,31,63,50,13,12,4,15,595,11,4,21,1,867,59,5,0,4,2,74,1,784,33,8
,,,"0,25","3,51","0,07","1,12","2,28","1,80","0,47","0,43","0,14","0,54","21,53","0,39","0,14","0,76","0,03","31,37","2,13","0,18","0,00","0,14","0,07","2,67","0,03","28,37","1,19","0,28"
Veľké Raškovce,,190,0,0,0,0,2,0,0,0,0,1,6,0,0,0,0,127,1,1,0,0,0,1,0,50,1,0
,,,"0,00","0,00","0,00","0,00","1,05","0,00","0,00","0,00","0,00","0,52","3,15","0,00","0,00","0,00","0,00","66,84","0,52","0,52","0,00","0,00","0,00","0,52","0,00","26,31","0,52","0,00"
Veľké Revištia,,282,1,32,2,6,10,0,2,0,0,6,179,5,4,0,0,6,4,9,0,2,1,8,0,0,4,1
,,,"0,35","11,34","0,70","2,12","3,54","0,00","0,70","0,00","0,00","2,12","63,47","1,77","1,41","0,00","0,00","2,12","1,41","3,19","0,00","0,70","0,35","2,83","0,00","0,00","1,41","0,35"
Veľké Slemence,,293,0,3,0,1,2,1,0,0,0,0,4,0,0,1,0,50,2,1,0,0,1,0,0,226,0,1
,,,"0,00","1,02","0,00","0,34","0,68","0,34","0,00","0,00","0,00","0,00","1,36","0,00","0,00","0,34","0,00","17,06","0,68","0,34","0,00","0,00","0,34","0,00","0,00","77,13","0,00","0,34"
Vinné,,775,5,99,5,18,74,45,2,6,9,15,352,10,9,5,0,15,13,3,0,0,3,48,0,3,31,5
,,,"0,64","12,77","0,64","2,32","9,54","5,80","0,25","0,77","1,16","1,93","45,41","1,29","1,16","0,64","0,00","1,93","1,67","0,38","0,00","0,00","0,38","6,19","0,00","0,38","4,00","0,64"
Vojany,,374,1,5,0,4,4,1,0,2,0,0,40,1,0,3,1,259,5,1,0,0,0,0,0,46,0,1
,,,"0,26","1,33","0,00","1,06","1,06","0,26","0,00","0,53","0,00","0,00","10,69","0,26","0,00","0,80","0,26","69,25","1,33","0,26","0,00","0,00","0,00","0,00","0,00","12,29","0,00","0,26"
Vojnatina,,124,0,7,1,12,3,2,0,0,2,0,82,0,1,1,0,0,2,1,0,2,0,3,0,0,5,0
,,,"0,00","5,64","0,80","9,67","2,41","1,61","0,00","0,00","1,61","0,00","66,12","0,00","0,80","0,80","0,00","0,00","1,61","0,80","0,00","1,61","0,00","2,41","0,00","0,00","4,03","0,00"
Voľa,,121,0,13,1,3,3,3,0,0,0,2,89,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0
,,,"0,00","10,74","0,82","2,47","2,47","2,47","0,00","0,00","0,00","1,65","73,55","0,00","0,00","2,47","0,00","0,00","0,00","2,47","0,00","0,00","0,00","0,00","0,00","0,00","0,82","0,00"
Vrbnica,,264,5,15,1,10,7,1,0,2,0,3,146,2,0,0,48,1,3,13,0,0,0,5,0,0,2,0
,,,"1,89","5,68","0,37","3,78","2,65","0,37","0,00","0,75","0,00","1,13","55,30","0,75","0,00","0,00","18,18","0,37","1,13","4,92","0,00","0,00","0,00","1,89","0,00","0,00","0,75","0,00"
Vysoká nad Uhom,,356,0,47,2,9,20,11,0,2,0,0,227,3,1,2,0,2,3,4,0,0,0,15,1,0,7,0
,,,"0,00","13,20","0,56","2,52","5,61","3,08","0,00","0,56","0,00","0,00","63,76","0,84","0,28","0,56","0,00","0,56","0,84","1,12","0,00","0,00","0,00","4,21","0,28","0,00","1,96","0,00"
Vyšná Rybnica,,201,2,2,2,35,6,1,1,0,0,1,122,2,1,1,0,2,8,5,0,0,0,3,0,0,6,1
,,,"0,99","0,99","0,99","17,41","2,98","0,49","0,49","0,00","0,00","0,49","60,69","0,99","0,49","0,49","0,00","0,99","3,98","2,48","0,00","0,00","0,00","1,49","0,00","0,00","2,98","0,49"
Vyšné Nemecké,,135,0,9,1,4,4,3,0,3,3,0,92,0,0,0,0,0,0,12,1,0,0,2,0,0,1,0
,,,"0,00","6,66","0,74","2,96","2,96","2,22","0,00","2,22","2,22","0,00","68,14","0,00","0,00","0,00","0,00","0,00","0,00","8,88","0,74","0,00","0,00","1,48","0,00","0,00","0,74","0,00"
Vyšné Remety,,196,0,5,2,24,3,2,0,1,0,1,143,1,1,1,0,3,1,4,0,0,0,1,0,0,2,1
,,,"0,00","2,55","1,02","12,24","1,53","1,02","0,00","0,51","0,00","0,51","72,95","0,51","0,51","0,51","0,00","1,53","0,51","2,04","0,00","0,00","0,00","0,51","0,00","0,00","1,02","0,51"
Zalužice,,536,0,69,2,32,31,21,2,5,1,3,272,4,6,6,5,11,15,8,0,2,0,37,0,1,3,0
,,,"0,00","12,87","0,37","5,97","5,78","3,91","0,37","0,93","0,18","0,55","50,74","0,74","1,11","1,11","0,93","2,05","2,79","1,49","0,00","0,37","0,00","6,90","0,00","0,18","0,55","0,00"
Záhor,,259,0,10,0,12,10,5,1,20,0,5,168,2,0,4,0,0,4,6,0,0,0,7,0,0,5,0
,,,"0,00","3,86","0,00","4,63","3,86","1,93","0,38","7,72","0,00","1,93","64,86","0,77","0,00","1,54","0,00","0,00","1,54","2,31","0,00","0,00","0,00","2,70","0,00","0,00","1,93","0,00"
Závadka,488684,200,0,4,0,6,4,9,2,0,5,8,127,0,2,3,4,2,4,6,0,0,0,4,0,0,10,0
,,,"0,00","2,00","0,00","3,00","2,00","4,50","1,00","0,00","2,50","4,00","63,50","0,00","1,00","1,50","2,00","1,00","2,00","3,00","0,00","0,00","0,00","2,00","0,00","0,00","5,00","0,00"
Zbudza,,253,0,41,1,10,9,5,0,0,0,0,163,0,0,7,1,0,3,1,0,0,0,5,0,0,7,0
,,,"0,00","16,20","0,39","3,95","3,55","1,97","0,00","0,00","0,00","0,00","64,42","0,00","0,00","2,76","0,39","0,00","1,18","0,39","0,00","0,00","0,00","1,97","0,00","0,00","2,76","0,00"
Zemplínska Široká,,358,2,29,0,20,13,7,0,1,0,5,216,1,3,9,0,0,10,6,0,1,1,25,0,0,9,0
,,,"0,55","8,10","0,00","5,58","3,63","1,95","0,00","0,27","0,00","1,39","60,33","0,27","0,83","2,51","0,00","0,00","2,79","1,67","0,00","0,27","0,27","6,98","0,00","0,00","2,51","0,00"
Zemplínske Kopčany,,104,1,3,0,1,0,0,0,2,0,0,30,1,0,2,0,53,1,1,0,0,0,0,0,7,2,0
,,,"0,96","2,88","0,00","0,96","0,00","0,00","0,00","1,92","0,00","0,00","28,84","0,96","0,00","1,92","0,00","50,96","0,96","0,96","0,00","0,00","0,00","0,00","0,00","6,73","1,92","0,00"
Žbince,,334,2,23,1,10,4,1,1,3,0,8,242,0,3,2,0,0,2,19,0,0,0,4,0,0,9,0
,,,"0,59","6,88","0,29","2,99","1,19","0,29","0,29","0,89","0,00","2,39","72,45","0,00","0,89","0,59","0,00","0,00","0,59","5,68","0,00","0,00","0,00","1,19","0,00","0,00","2,69","0,00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obvod Michalovce,,53 779,228,4 492,208,2 185,2 440,1 541,233,266,118,653,29 301,378,337,554,195,2 997,962,862,15,88,42,1 963,52,2 428,1 151,90
